Cohort,Wave,Tut 1 Time,Tut 2 Time,Tut 3 Time,Task 1 Time,Task 2 Time,Task 3 Time,Task 1 Blocks,Task 1 Defs,Task 1 Calls,Task 2 Blocks,Task 2 Defs,Task 2 Calls,Task 3 Blocks,Task 3 Defs,Task 3 Calls
A,1,4,2,12,2,-15,-17,13,0,0,37,0,0,41,0,0
A,1,13,5,16,6,-16,11,13,0,0,41,2,2,52,0,0
A,1,3,2,5,3,11,10,13,0,0,60,0,0,49,0,0
A,1,2,2,11,2,10,10,13,0,0,54,3,4,50,0,0
A,1,5,4,9,3,-15,-18,13,0,0,51,1,1,56,0,0
A,1,4,2,7,5,,,18,1,2,50,,,,,
A,1,3,2,4,3,10,12,13,0,0,59,0,0,53,0,0
A,1,18,2,7,3,11,-19,13,0,0,60,0,0,58,0,0
A,1,2,2,10,5,8,-16,17,2,2,67,4,4,17,0,0
A,1,2,4,5,-10,-16,-16,10,0,0,16,0,0,3,0,0
A,1,4,4,15,-10,-19,16,8,0,0,57,4,4,63,2,2
A,1,10,4,13,5,11,17,13,0,0,69,4,4,51,0,0
A,1,3,1,10,2,7,-15,13,0,0,67,4,4,32,1,1
A,1,2,3,6,6,7,-16,22,0,0,63,4,4,41,0,0
A,1,4,2,11,3,8,7,13,0,0,71,0,0,49,0,0
A,1,6,5,23,6,-17,-16,13,0,0,67,0,0,81,0,0
A,1,4,3,13,6,6,17,17,2,2,54,3,4,56,4,4
A,1,2,2,6,3,6,-18,13,0,0,55,4,7,52,0,0
A,1,4,3,11,8,9,-15,17,1,2,54,3,4,54,0,0
A,1,2,2,4,3,5,11,17,2,2,59,3,4,55,2,3
A,1,3,2,8,3,12,13,13,0,0,54,3,4,53,2,2
A,1,3,6,8,5,-16,15,13,0,0,44,0,0,49,0,0
A,1,5,3,13,3,9,8,13,0,0,59,0,0,52,0,0
A,1,3,2,5,3,6,-18,13,0,0,54,4,7,42,0,0
A,1,3,2,5,4,5,-16,17,0,0,50,3,4,56,0,0
A,1,28,11,8,5,11,12,17,0,0,64,4,4,66,0,0
A,1,7,3,9,4,7,-16,13,0,0,54,4,7,17,0,0
A,2,5,2,6,4,-15,9,13,0,0,45,2,2,49,0,0
A,2,4,11,20,-12,11,-18,12,0,0,63,4,4,57,2,2
A,2,2,2,7,3,6,11,13,0,0,54,4,4,49,0,0
A,2,3,5,16,9,-16,-17,13,0,0,55,4,4,59,1,1
A,2,3,4,6,3,15,12,13,0,0,54,3,4,51,0,0
A,2,3,3,7,4,15,-16,13,0,0,59,0,0,56,0,0
A,2,4,2,9,4,9,-16,13,0,0,66,4,4,51,0,0
A,2,4,5,11,4,8,14,13,0,0,54,3,4,53,4,4
A,2,4,3,6,4,4,11,13,0,0,54,4,7,55,2,3
A,2,4,5,10,3,8,14,13,0,0,54,3,4,53,4,4
A,2,5,4,14,-11,-16,-17,4,1,1,23,0,0,5,0,0
A,2,3,3,7,3,-16,-16,13,0,0,47,0,0,22,0,0
A,2,8,11,15,4,10,11,13,0,0,54,3,4,49,0,0
A,2,4,6,11,4,6,-17,17,2,2,67,4,4,73,0,0
A,2,4,2,9,3,7,16,13,0,0,59,0,0,57,4,4
A,2,4,3,11,5,-16,14,17,2,2,57,0,0,52,1,1
A,2,3,2,7,11,5,13,22,0,0,63,4,4,64,3,2
A,2,3,2,7,4,9,8,13,0,0,60,0,0,49,0,0
A,2,5,4,10,5,-16,,13,0,0,10,0,0,,,
A,2,3,4,5,4,12,-16,13,0,0,59,0,0,51,0,0
A,2,3,2,5,3,8,10,13,0,0,61,1,1,49,0,0
A,2,5,5,14,6,-18,,13,0,0,41,0,0,,,
B,1,4,3,8,3,10,10,13,4,4,67,4,4,55,13,13
B,1,5,3,34,4,-16,-17,13,4,4,42,1,1,72,16,16
B,1,3,2,5,3,8,9,17,4,4,63,4,4,57,11,12
B,1,3,4,9,7,8,,17,4,4,76,4,4,55,10,10
B,1,4,4,8,5,12,16,17,4,4,76,4,4,74,14,14
B,1,2,2,8,2,6,9,14,4,4,54,3,4,53,12,12
B,1,6,2,4,3,4,6,17,4,4,63,4,4,65,12,12
B,1,2,4,7,2,5,15,14,3,4,50,3,4,72,13,13
B,1,4,31,27,4,6,-16,17,4,4,63,4,4,5,1,1
B,1,10,4,6,9,10,-17,17,4,4,63,4,4,49,7,7
B,1,5,3,9,5,12,15,18,4,4,52,4,4,65,14,14
B,1,5,3,6,-11,-18,-16,5,1,2,14,0,0,9,0,0
B,1,5,8,8,5,4,11,17,4,4,63,4,4,66,14,14
B,1,5,9,9,8,11,13,22,4,4,64,4,4,67,13,15
B,1,4,3,9,4,5,11,17,4,4,63,4,4,65,14,14
B,1,11,36,8,-14,15,-16,10,2,2,64,4,5,17,2,2
B,1,2,2,3,3,-17,,13,4,4,55,4,4,,,
B,1,4,3,5,5,5,11,19,4,4,63,4,4,61,12,12
B,1,5,4,6,6,5,16,17,4,4,63,4,4,64,12,13
B,1,12,9,5,3,14,10,17,4,4,63,4,4,65,13,14
B,1,5,4,16,4,14,15,17,4,4,82,4,4,55,8,8
B,1,2,2,4,5,8,14,17,4,4,76,4,4,65,14,15
B,1,4,6,7,4,6,16,17,4,4,63,4,4,88,14,14
B,1,4,3,4,3,5,8,17,4,4,50,3,4,61,12,12
B,1,3,2,7,5,11,13,17,4,4,76,4,4,71,17,17
B,1,11,11,6,5,11,11,17,4,4,64,4,4,66,14,15
B,1,4,2,5,3,4,16,17,4,4,63,4,4,104,14,14
B,1,5,3,4,4,9,9,19,4,4,50,3,4,65,14,14
B,2,3,2,3,6,13,9,20,4,4,51,4,4,65,14,14
B,2,3,3,3,3,7,13,14,3,4,50,3,4,43,18,18
B,2,3,3,3,3,8,7,17,4,4,63,4,4,61,12,12
B,2,5,5,11,8,5,-16,21,4,4,64,4,4,74,14,14
B,2,3,2,5,5,6,11,17,4,4,63,4,4,61,12,12
B,2,2,2,6,2,-17,9,17,4,4,30,1,1,65,14,15
B,2,3,2,9,4,7,9,17,4,4,64,4,4,66,14,14
B,2,2,2,6,3,14,10,13,4,4,59,4,4,51,14,14
B,2,3,2,13,3,7,-15,17,4,4,63,4,4,56,18,18
B,2,4,3,7,3,5,12,15,4,4,76,4,4,61,11,11
B,2,4,3,7,5,9,13,17,4,4,63,4,4,65,14,14
B,2,3,2,9,3,10,11,17,4,4,63,4,4,61,12,12
B,2,2,4,5,3,4,12,20,4,4,63,4,4,65,14,14
B,2,4,3,8,7,11,14,13,4,4,63,4,4,50,14,14
B,2,2,5,22,5,12,,17,4,4,54,4,4,,,
